t,closest_hit_linucb_mean,closest_hit_linucb_smooth,closest_hit_linucb_se,closest_hit_alg1_mean,closest_hit_alg1_smooth,closest_hit_alg1_se
1,0.0,0.9874,0.0,0.0,0.95672,0.0
2,1.0,0.9874005039798408,0.0,0.0,0.9567217311307548,0.0
3,0.0,0.9874010079193665,0.0,0.0,0.9567234621230302,0.0
4,0.0,0.9874015118185818,0.0,1.0,0.9567251929768428,0.0
5,1.0,0.9874020156774916,0.0,0.0,0.9567269236922092,0.0
6,0.0,0.9874025194961008,0.0,0.0,0.9567286542691462,0.0
7,1.0,0.9874030232744141,0.0,0.0,0.9567303847076701,0.0
8,0.0,0.9874035270124365,0.0,1.0,0.9567321150077979,0.0
9,1.0,0.9874040307101728,0.0,0.0,0.9567338451695457,0.0
10,0.0,0.9874045343676277,0.0,1.0,0.9567355751929305,0.0
11,0.0,0.987405037984806,0.0,0.0,0.9567373050779688,0.0
12,0.0,0.9874055415617129,0.0,0.0,0.9567390348246771,0.0
13,1.0,0.9874060450983528,0.0,1.0,0.9567407644330721,0.0
14,0.0,0.9874065485947308,0.0,1.0,0.9567424939031703,0.0
15,1.0,0.9874070520508516,0.0,0.0,0.9567442232349884,0.0
16,0.0,0.98740755546672,0.0,0.0,0.9567459524285429,0.0
17,1.0,0.987408058842341,0.0,0.0,0.9567476814838504,0.0
18,1.0,0.9874085621777191,0.0,0.0,0.9567494104009274,0.0
19,1.0,0.9874090654728596,0.0,0.0,0.9567511391797906,0.0
20,0.0,0.9874095687277669,0.0,0.0,0.9567528678204564,0.0
21,0.0,0.987410071942446,0.0,1.0,0.9567545963229417,0.0
22,0.0,0.9874105751169018,0.0,0.0,0.9567563246872627,0.0
23,1.0,0.987411078251139,0.0,0.0,0.9567580529134362,0.0
24,0.0,0.9874115813451625,0.0,1.0,0.9567597810014786,0.0
25,1.0,0.987412084398977,0.0,1.0,0.9567615089514067,0.0
26,0.0,0.9874125874125874,0.0,0.0,0.9567632367632367,0.0
27,0.0,0.9874130903859986,0.0,0.0,0.9567649644369856,0.0
28,1.0,0.9874135933192153,0.0,0.0,0.9567666919726695,0.0
29,1.0,0.9873741409621224,0.0,0.0,0.9567284641201854,0.0
30,1.0,0.9873746454113229,0.0,0.0,0.9567301929761477,0.0
31,0.0,0.9873751498202158,0.0,0.0,0.9567319216939673,0.0
32,1.0,0.9873756541888059,0.0,0.0,0.9567336502736606,0.0
33,1.0,0.9873362096516459,0.0,0.0,0.9567353787152445,0.0
34,1.0,0.9873367155354932,0.0,0.0,0.9567371070187353,0.0
35,1.0,0.9873372213789247,0.0,1.0,0.9567388351841496,0.0
36,0.0,0.9873377271819452,0.0,0.0,0.9567405632115039,0.0
37,1.0,0.9873382329445598,0.0,0.0,0.9567422911008149,0.0
38,1.0,0.9873387386667731,0.0,1.0,0.9567440188520989,0.0
39,1.0,0.9873392443485901,0.0,0.0,0.9567457464653726,0.0
40,0.0,0.9873397499900156,0.0,0.0,0.9567474739406526,0.0
41,1.0,0.9873402555910543,0.0,0.0,0.9567492012779553,0.0
42,0.0,0.9873407611517112,0.0,1.0,0.9567509284772973,0.0
43,1.0,0.9873412666719911,0.0,1.0,0.956752655538695,0.0
44,0.0,0.9873417721518988,0.0,0.0,0.956754382462165,0.0
45,0.0,0.9873422775914391,0.0,0.0,0.956756109247724,0.0
46,0.0,0.9873427829906168,0.0,0.0,0.9567578358953883,0.0
47,1.0,0.9873432883494371,0.0,1.0,0.9567595624051745,0.0
48,0.0,0.9873437936679044,0.0,1.0,0.9567612887770991,0.0
49,1.0,0.9873442989460236,0.0,1.0,0.9567630150111786,0.0
50,0.0,0.9873448041837998,0.0,0.0,0.9567647411074295,0.0
51,1.0,0.9873453093812375,0.0,1.0,0.9567664670658682,0.0
52,0.0,0.9873458145383418,0.0,0.0,0.9567681928865115,0.0
53,0.0,0.9873463196551173,0.0,0.0,0.9567699185693757,0.0
54,0.0,0.9873468247315691,0.0,0.0,0.9567716441144773,0.0
55,1.0,0.9873473297677018,0.0,0.0,0.9567733695218329,0.0
56,1.0,0.9873478347635203,0.0,1.0,0.9567750947914588,0.0
57,1.0,0.9873483397190294,0.0,1.0,0.9567768199233716,0.0
58,0.0,0.987348844634234,0.0,1.0,0.9567785449175878,0.0
59,0.0,0.9873493495091388,0.0,1.0,0.956780269774124,0.0
60,1.0,0.9873498543437488,0.0,1.0,0.9567819944929965,0.0
61,1.0,0.9873503591380687,0.0,0.0,0.9567837190742219,0.0
62,1.0,0.9873508638921032,0.0,1.0,0.9567854435178166,0.0
63,0.0,0.9873513686058575,0.0,1.0,0.956787167823797,0.0
64,0.0,0.987351873279336,0.0,1.0,0.9567888919921798,0.0
65,1.0,0.9873523779125439,0.0,0.0,0.9567906160229812,0.0
