method,runs,final_mean,final_se,avg_regret
Contextual LinUCB,1,2211.117461387872,0.0,0.00552779365346968
Alg1 oracle bank,1,1670.6152309483823,0.0,0.004176538077370956
Fixed theta_star direction,1,1294.6489481224653,0.0,0.003236622370306163
Fixed best bank direction j=0,1,1294.6489481224653,0.0,0.003236622370306163
