t,cum_regret_linucb,cum_regret_alg1_oracle_bank,cum_regret_alg1_random_bank
86,7.421655910274427,18.824540599505273,15.013572198913264
87,7.4367531580691955,19.107106200436768,15.065331623986081
88,7.450340681915041,19.304427725254534,15.262575654279374
89,7.450340681915041,19.414588389134423,15.58994379955741
90,7.527446337674763,19.76179979980556,15.830864158445634
91,7.598669149098636,19.8084228529081,15.949135318439348
92,7.606105621511887,19.852766682497787,16.011251862083068
93,7.761938998600824,19.852766682497787,16.0571066956418
94,7.786472010817659,19.852766682497787,16.080826406923503
95,7.794890816788413,19.95817104422396,16.08924521289426
96,7.923972001294637,20.090199913950073,16.113269846042403
97,7.958856320230667,20.301902128008763,16.135083938343346
98,7.98837465172964,20.589127698251318,16.226984043842215
99,7.98837465172964,21.079944026928125,16.529004292353047
100,8.002835805041109,21.578051946853517,16.72568283528365
101,8.036276328594408,22.306023029165928,16.824239972880793
102,8.042931988338914,22.684128631595907,16.928395568850682
103,8.089424957616233,23.069969293203435,16.994466290562073
104,8.155983740704945,23.561128946993897,17.256454446616345
105,8.200713099349647,24.169134064179076,17.330202849130284
106,8.344186452728628,24.321754325868092,17.473676202509264
107,8.407151482401046,24.465316215275525,17.536641232181683
108,8.469240823309221,24.47204398219538,17.653089693143833
109,8.549811808011007,24.529215215204115,17.764521945074282
110,8.583274499203569,24.57673149660311,17.820572810034243
111,8.605596325434728,24.60182876395346,17.843823771461064
112,8.645639193265477,24.6117553158272,17.866396565089918
113,8.740944400549688,24.753808212257837,18.081010775160884
114,8.740944400549688,24.804844446229254,18.544781209098534
115,8.740944400549688,25.287608407842075,18.95184372281166
116,8.740944400549688,25.88451659154709,19.301222490534037
117,8.749692944492407,26.49458401463672,19.337572769938788
118,8.824687254760802,27.09130695165882,19.412567080207182
119,8.824687254760802,27.833769813074426,19.52144672009789
120,8.881422202267398,28.23488899382865,19.615178886266403
121,8.903385736692238,28.579472299680013,19.69159719865368
122,8.950618107583646,29.160912811749665,19.766583000680782
123,8.953403886693827,29.776377856483016,19.838053656888796
124,9.049057044674939,30.178682875850075,20.0092947233339
125,9.049057044674939,30.33595271426385,20.1370738611436
126,9.088945707287225,30.403591524568665,20.27327924009324
127,9.088945707287225,30.458776657028864,20.342533811756308
128,9.095168324649682,30.500344552575903,20.38467524887254
129,9.10723100969946,30.52117768786206,20.399495300576085
130,9.155415910044699,30.552423913866427,20.462414017582066
131,9.168501486484185,30.676098512565147,20.475499594021553
132,9.191586465163484,30.708897739903517,20.508298821359922
133,9.213637180296264,30.803482428962916,20.60288351041932
134,9.213637180296264,30.973838866398683,20.77323994785509
135,9.234552423522942,31.53312685485454,20.938438972558206
136,9.243562371393923,31.854132903846427,21.095983551730104
137,9.243562371393923,31.854132903846427,21.198225734539793
138,9.243562371393923,31.898758259305232,21.330576516436842
139,9.243562371393923,31.898758259305232,21.455394791974182
140,9.314213231543267,31.917847510760012,21.56221602571802
141,9.352032992840089,32.42615945991815,22.07052797487616
142,9.37528207056681,33.005700721851504,22.513920376249658
143,9.44652896228843,33.214342477674045,22.786470355170913
144,9.565261654267449,33.42793267967429,22.981746918046962
145,9.625690939748305,33.57900302100402,23.304716921355773
146,9.707242065405813,33.71503569443249,23.381034730659184
147,9.75215528988437,33.79902402304767,23.42594795513774
148,9.753226492623897,33.85033915650535,23.448713463322054
149,9.772782056567458,34.66229897181245,24.000413773221407
150,9.87583923210678,35.32487401411931,24.248618569536788
151,9.90940125677651,35.877760180998095,24.761669077928143
152,9.90940125677651,36.08298094209601,24.924481238296796
153,9.90940125677651,36.25135898984378,25.476141526946922
154,9.90940125677651,36.972016612216336,25.89423396110314
155,9.974562282678425,37.36246254351496,26.303691892590624
156,10.055150264108079,37.36246254351496,26.8241140176569
157,10.055150264108079,37.36246254351496,27.53190965026797
158,10.122749815841077,37.36246254351496,27.897193273899948
159,10.213679780479158,37.599781283400674,28.116649163432715
160,10.251676055982522,37.97320339688024,28.357137925632273
161,10.284803065779949,38.59160550700685,28.876058062018156
162,10.33971310055236,39.2916285802488,29.278418238612602
163,10.360067904262145,39.96835065808059,29.55357145605285
164,10.362025418028175,40.71482844870514,30.007817889739183
165,10.509452975318768,41.08181294377615,30.22281005927505
166,10.509452975318768,41.35985945061309,30.291979547350603
167,10.525616363781248,41.67914332664212,30.332912415536445
168,10.540410024136023,42.35688144856628,31.010650537460606
169,10.632781869260178,42.7997931532884,31.29273254252128
170,10.64890014260223,43.17864768315924,31.773559913727382
171,10.64890014260223,43.76569164947312,31.932905318029224
172,10.718817776295996,44.45898835190081,32.27590380458251
173,10.753232101392472,45.07909971205593,32.35493934563118
174,10.809624858697081,45.367142786537066,32.55695666560464
175,10.809624858697081,45.40012222155426,33.04802030134858
176,10.843940613410245,45.53676037101667,33.289265478103516
177,10.87252092305947,45.61792583220549,33.561746431136946
178,10.90783119071227,46.1390552092104,34.08287580814185
179,10.923043610422253,46.28132053250492,34.478729508597404
180,10.964055836672292,46.658373313702874,34.6765616241344
181,11.08704447486484,46.804657096996436,34.72480722402012
182,11.183383880657836,46.92945749099132,34.87470663072405
183,11.187792113993819,47.015084819406766,34.97158167875625
184,11.187792113993819,47.10217909629834,35.19961238701243
185,11.191307541790275,47.155835122536395,35.242291826650586
186,11.191307541790275,47.56467945817108,35.242291826650586
187,11.191307541790275,47.98929332630424,35.242291826650586
188,11.191307541790275,48.46625166497975,35.40637611502438
189,11.195316941765025,48.65940694781253,35.50349571231746
190,11.19622698864848,48.72006686872233,35.62708683387284
191,11.210393782895805,48.77868969029578,35.775349097258704
192,11.213497396910402,48.79609154705185,35.809705061735585
193,11.235628509409361,48.88007383527106,35.889377140286506
194,11.263207342561403,49.09543948181681,35.96254379898456
195,11.31072300700586,49.554916117450965,36.04706865675915
196,11.358275501026922,50.09957523058739,36.23320220127502
197,11.358275501026922,50.324535456616104,36.45140905615551
198,11.358275501026922,50.54931647055239,36.64979713783966
199,11.358275501026922,50.66934258791223,36.713132527182275
200,11.373201801342997,51.20244917808295,36.918796635230436
201,11.430052912672048,51.535907959475715,37.01114611814975
202,11.46459824131583,51.94438447408169,37.144697873804525
203,11.475851772546156,52.66933376797638,37.19961708632768
204,11.475851772546156,53.36767116651635,37.410827795858744
205,11.509878818697596,54.11138592609244,37.44485484201018
206,11.509878818697596,54.642781929630786,37.759074865389806
207,11.59284372223433,55.33994248326019,37.948309638321724
208,11.59284372223433,56.014690906555494,38.06214841328719
209,11.606406353576196,56.41563382050247,38.227358881910554
210,11.606406353576196,56.63276350281406,38.312272004341715
211,11.606406353576196,56.815722731641266,38.382237341560206
212,11.606406353576196,57.01605126034919,38.38687867403069
213,11.657619369958642,57.38859322914153,38.42276230653546
214,11.66013293886324,57.76890614352172,38.53417302432754
215,11.701137838759378,58.075512920416266,38.68520493590853
216,11.701137838759378,58.30124588561184,38.87890135075134
217,11.705408259111051,58.682223232718,38.94492989897597
218,11.720444384969309,58.84985562199569,39.12660747210001
219,11.771312951825493,58.999105590174025,39.248535214760444
220,11.810544944773655,59.17605562649598,39.32724766055638
221,11.843657085090227,59.37361345443447,39.501710080337254
222,11.874940927701445,59.557812207720126,39.67331358603612
223,11.958149344172043,59.72039784746314,39.90307036683749
224,11.958149344172043,60.038632026812905,39.99642911404635
225,12.058442458244482,60.18766563253715,40.14382406089454
226,12.080615730867551,60.53693982418,40.16599733351761
227,12.087688045200906,60.65499342839339,40.173069647850966
228,12.087688045200906,60.815780970755256,40.37044148159974
229,12.087688045200906,61.200544241847496,40.564047260363026
230,12.087883258198115,61.45060545056217,40.77548945014563
231,12.087883258198115,61.9242440321316,40.86685729796261
232,12.087883258198115,62.21589569290306,40.96747999089738
233,12.090786752262064,62.354952217929664,40.98918909114853
234,12.108382574114055,62.63665335456831,41.06578624526459
235,12.143831781822573,62.849458918997755,41.25414450441852
236,12.19548981231599,62.908643089735705,41.43028479836426
237,12.19548981231599,63.28351081960502,41.51730053223474
238,12.197136304733789,63.46785254752041,41.595305811084266
239,12.197136304733789,63.59664618089165,41.68938351389483
240,12.205440609245102,63.719286280890806,41.761690193975454
241,12.225280025765992,63.939382899546324,42.00455134153651
242,12.226877784802202,64.39600107613492,42.045439981536326
243,12.236131328370377,64.51903701489945,42.18258986389284
244,12.236131328370377,64.87926884331426,42.26452365090557
245,12.236131328370377,65.079685796197,42.389183699054016
246,12.236131328370377,65.22936455857709,42.63300813037625
247,12.236131328370377,65.54657430893944,42.63300813037625
248,12.238109129000398,65.89911873827616,42.794184167019914
249,12.238109129000398,66.21200966927596,42.93438738310208
250,12.238109129000398,66.61509115572532,43.047942573861576
251,12.317986163119311,66.68008001218037,43.14958486433898
252,12.344554880790824,66.91605900689623,43.20698490996672
253,12.344554880790824,67.05965655085026,43.42246569159034
254,12.389554360885116,67.37881982216535,43.57356084549768
255,12.407276854157626,67.4322272492086,43.68169604357916
256,12.407276854157626,67.84540022819859,43.755996440858965
257,12.409320703081017,67.9901369461219,43.85257920505887
258,12.462427958306039,68.12264161017234,43.9407544889802
259,12.54261649630599,68.26535264909354,44.02094302698015
260,12.54261649630599,68.42318188099415,44.161330043903426
261,12.54261649630599,68.77614428225833,44.236016164657634
262,12.54261649630599,69.08470563810316,44.32419527031593
263,12.54261649630599,69.41941131751024,44.32419527031593
264,12.5596363242816,69.71796845437082,44.366628903932565
265,12.5596363242816,69.924328717514,44.75300704936529
266,12.5596363242816,70.19568019516919,45.14520565609366
267,12.587310487286318,70.62006307031379,45.21257772100235
268,12.668520436293212,70.88579856070811,45.25814258576436
269,12.72931232453146,71.40699417641461,45.31908538799292
270,12.731435060145337,71.54683098804203,45.58576027750638
271,12.749438005369527,71.77496854437689,45.647023162975586
272,12.768646044795544,72.16359868757874,45.74060784504552
273,12.796277127860282,72.45082832387371,45.81219377773209
274,12.832526569926861,72.49974475003205,46.02892292113543
275,12.832526569926861,72.91162148142018,46.06452949497748
276,12.832526569926861,73.14277917190043,46.37906734740017
277,12.975640977096917,73.27041680604327,46.523185267593654
278,13.00937401210522,73.4067102069635,46.600694354511994
279,13.00937401210522,73.60637856729034,46.79017047431299
280,13.00937401210522,74.05883495680247,46.82102025527926
281,13.00937401210522,74.21961229720134,47.093529382626066
282,13.048760080163756,74.57104744288233,47.34804593308075
283,13.048760080163756,74.69775187987945,47.575298778450275
