t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
51,7.530265105738195,0.0,11.744355592801083,0.0,0.14587089613161958,0.14587089613161958
52,7.701369579205421,0.0,11.959506206256577,0.0,0.1468247776062997,0.1468247776062997
53,7.845328441385952,0.0,12.092923744628255,0.0,0.14761120791114196,0.14761120791114196
54,8.050374742147522,0.0,12.297970045389825,0.0,0.14761120791114196,0.14761120791114196
55,8.099272549909884,0.0,12.628942521801255,0.0,0.15206913721326215,0.15206913721326215
56,8.148691015638478,0.0,12.741868099796099,0.0,0.15206913721326215,0.15206913721326215
57,8.178616895655292,0.0,12.743035173582953,0.0,0.1532362110001168,0.1532362110001168
58,8.320401379326192,0.0,12.908182668489449,0.0,0.1532362110001168,0.1532362110001168
59,8.498429925359947,0.0,12.943700914994007,0.0,0.1532362110001168,0.1532362110001168
60,8.498429925359947,0.0,12.9774780820327,0.0,0.15919300185542312,0.15919300185542312
61,8.583593541411053,0.0,13.333641789712646,0.0,0.15942695495736575,0.15942695495736575
62,8.589015606542132,0.0,13.405299894251824,0.0,0.16484902008844377,0.16484902008844377
63,8.696006740859726,0.0,13.552910532059785,0.0,0.16484902008844377,0.16484902008844377
64,8.828305663882473,0.0,13.570325938310292,0.0,0.17590913287582888,0.17590913287582888
65,8.846336350558367,0.0,13.740839048304924,0.0,0.18116994596356584,0.18116994596356584
66,8.851832003638059,0.0,14.028107332193805,0.0,0.18116994596356584,0.18116994596356584
67,8.922799578042198,0.0,14.242360044384945,0.0,0.18116994596356584,0.18116994596356584
68,8.924939305500747,0.0,14.41747797225796,0.0,0.1833096734221138,0.1833096734221138
69,8.989116513570947,0.0,14.475813653189991,0.0,0.1833096734221138,0.1833096734221138
70,9.039029640313021,0.0,14.535410139090835,0.0,0.20407454731349828,0.20407454731349828
71,9.061055924992404,0.0,14.64998583277858,0.0,0.20407454731349828,0.20407454731349828
72,9.083972755494834,0.0,15.053480162232582,0.0,0.204594283424531,0.204594283424531
73,9.337753803272143,0.0,15.275488044624494,0.0,0.204594283424531,0.204594283424531
74,9.374294466276526,0.0,15.50623606857898,0.0,0.2111788035149461,0.2111788035149461
75,9.381271110844114,0.0,15.561375773674413,0.0,0.2111788035149461,0.2111788035149461
76,9.445026603356508,0.0,15.900302006171447,0.0,0.2111788035149461,0.2111788035149461
77,9.732325831561555,0.0,16.08805444508184,0.0,0.22089409296254237,0.22089409296254237
78,9.786522206338507,0.0,16.19176168481821,0.0,0.22089409296254237,0.22089409296254237
79,9.80891477231711,0.0,16.324412425141283,0.0,0.22089409296254237,0.22089409296254237
80,9.955025553134682,0.0,16.54494559349625,0.0,0.2252925956994305,0.2252925956994305
81,10.006037441436382,0.0,16.71823379183552,0.0,0.2252925956994305,0.2252925956994305
82,10.006037441436382,0.0,16.87356805949,0.0,0.2252925956994305,0.2252925956994305
83,10.027149647608134,0.0,16.930056247863938,0.0,0.2252925956994305,0.2252925956994305
84,10.496705366164004,0.0,17.00218343313492,0.0,0.25101172584209697,0.25101172584209697
85,10.510309378313071,0.0,17.48472583160907,0.0,0.25101172584209697,0.25101172584209697
86,10.534781416999024,0.0,17.777731744668362,0.0,0.25802488944074964,0.25802488944074964
87,10.565872032055536,0.0,17.945865333305285,0.0,0.25997424218814835,0.25997424218814835
88,10.733253393080997,0.0,18.02009324688392,0.0,0.25997424218814835,0.25997424218814835
89,10.805084219433903,0.0,18.209697442443687,0.0,0.25997424218814835,0.25997424218814835
90,10.990377429414314,0.0,18.4115687136074,0.0,0.2645335516691938,0.2645335516691938
91,11.122401851845893,0.0,18.528424537885613,0.0,0.2645335516691938,0.2645335516691938
92,11.173158252026882,0.0,18.61548000788513,0.0,0.27427051915684203,0.27427051915684203
93,11.1890002423007,0.0,18.748086123739323,0.0,0.27427051915684203,0.27427051915684203
94,11.192493170420352,0.0,18.947646559354226,0.0,0.2778731050873357,0.2778731050873357
95,11.345363851153682,0.0,19.144678627668313,0.0,0.2778731050873357,0.2778731050873357
96,11.712935886360167,0.0,19.2896300536464,0.0,0.282088315844445,0.282088315844445
97,11.727820385561031,0.0,19.441469108824663,0.0,0.282088315844445,0.282088315844445
98,11.727820385561031,0.0,19.517186753675844,0.0,0.282088315844445,0.282088315844445
99,11.75754195145954,0.0,19.567990382810056,0.0,0.2841237984690423,0.2841237984690423
100,11.766859987159284,0.0,19.670010975098915,0.0,0.2841237984690423,0.2841237984690423
101,11.844761830863392,0.0,20.152308904740245,0.0,0.28692059845182466,0.28692059845182466
102,11.958797021075421,0.0,20.383416698617708,0.0,0.28692059845182466,0.28692059845182466
103,11.988880746355575,0.0,20.609089937180467,0.0,0.2907665790527378,0.2907665790527378
104,12.050953633144438,0.0,21.05494993781546,0.0,0.2914752318965375,0.2914752318965375
105,12.12234231531249,0.0,21.558765510960995,0.0,0.2967879948980037,0.2967879948980037
106,12.241683048139452,0.0,21.670182938805425,0.0,0.2967879948980037,0.2967879948980037
107,12.289230290988902,0.0,21.888804276083025,0.0,0.2967879948980037,0.2967879948980037
