t,cum_regret_linucb_baseline,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se
1,0.2949113055442908,0.13898369800330496,0.06692881296870618
2,0.345035096484556,0.6291593128247044,0.09329631533956158
3,0.4974908394266305,1.029859213260643,0.10715931881518014
4,0.5874483191999907,1.5602730139253715,0.08068185938973725
5,1.021980612487092,1.7973791871923166,0.1288356163423321
6,1.1830538706224873,1.9508134957975343,0.12563580031925461
7,1.2735183239274577,2.057794272268601,0.08758344501259475
8,1.3208987776120753,2.2011872152977,0.08912261727071943
9,1.3220779091417683,2.5283034401359905,0.1117524322105442
10,1.549873041780121,2.736982564653104,0.07910842000504667
11,2.019748152349074,2.9234823732663617,0.11220900303697186
12,2.2064265158084977,3.1464766078984048,0.08502406690849607
13,2.2314784493529256,3.470324873695911,0.08091541957440895
14,2.647765532827873,3.7122730824754653,0.10945203823064274
15,2.69465821954293,4.164688022690379,0.11967796306620986
16,3.174699889070089,4.497318933997132,0.11430744233194723
17,3.436924678377406,4.712712923956021,0.15765102272581014
18,3.483373953889033,4.945558711553959,0.16101665827443948
19,3.509852196232217,5.430428883782685,0.1434382601645394
20,3.509852196232217,5.654884889335824,0.10528504486944258
21,3.570301907974617,5.81105699398739,0.06832147210476873
22,3.6950593484465206,5.957011774543976,0.05735367387234668
23,3.696221625875056,6.111417600641255,0.05388935207156611
24,3.7601874451330124,6.377908469234607,0.07954844790070434
25,4.021992503292056,6.649697534432882,0.09201080083268018
26,4.0264829074827055,6.847405623117609,0.11183479748314779
27,4.434656384635183,7.004011554057766,0.16499855019454493
28,4.8014257389481845,7.233337055841867,0.22582004283056145
29,4.805518117290838,7.658406491749747,0.2386915701223684
30,5.127650410952334,7.998478726880099,0.21694642051074273
31,5.4757559040268005,8.279882306652869,0.21265033260601976
32,5.5839379063887,8.380232518625618,0.21555225415450127
33,5.834423078915265,8.64252416285682,0.24904542313826286
34,5.867984099215872,8.832712685776098,0.2642595632133534
35,5.900992620393334,8.92076537839307,0.26857832051307046
36,5.966101618955824,8.993575092092678,0.2618054772775745
37,6.149186247222979,9.124944334282855,0.2570954701362515
38,6.197874029245067,9.314991003366133,0.22518713681814098
39,6.228874730740026,9.539379424725626,0.24783745508139746
40,6.242123724389693,9.716527431130903,0.2828231533058819
41,6.245478220934911,9.922671396996458,0.26558079581413635
42,6.593465854044368,10.09182992711106,0.2442892712059341
43,6.942218147542415,10.340151545025197,0.28196607575871147
44,7.1593843210846515,10.580038471548505,0.34374894703915904
45,7.218296539699672,10.874499002578649,0.3225716768697461
46,7.473408342802984,11.066310700399749,0.3207795456184419
47,7.533098504008598,11.293623665746415,0.2841676317190227
48,7.593627067653829,11.422196972239647,0.28831936040057515
49,7.675871356808834,11.518292762277866,0.2948888246890349
