method,runs,final_mean,final_se,avg_regret
Contextual LinUCB,1,1237.9752432761097,0.0,0.006189876216380548
Alg1 oracle bank,1,1016.6458456221262,0.0,0.005083229228110631
Fixed theta_star direction,1,647.4796841824664,0.0,0.0032373984209123317
Fixed best bank direction j=0,1,647.4796841824664,0.0,0.0032373984209123317
